time,values
0.798,2.07
0.799,2.0647
0.8,2.0652
0.801,2.0623
0.802,2.0652
0.803,2.0685
0.804,2.0685
0.805,2.0625
0.806,2.0643
0.807,2.0618
0.808,2.0649
0.809,2.063
0.81,2.0689
0.811,2.0678
0.812,2.0718
0.813,2.0678
0.814,2.0682
0.815,2.0614
0.816,2.0689
0.817,2.0713
0.818,2.0581
0.819,2.0643
0.82,2.0632
0.821,2.0687
0.822,2.057
0.823,2.0587
0.824,2.0649
0.825,2.0621
0.826,2.0616
0.827,2.0634
0.828,2.0684
0.829,2.064
0.83,2.0651
0.831,2.0663
0.832,2.064
0.833,2.0669
0.834,2.0623
0.835,2.0652
0.836,2.0676
0.837,2.0678
0.838,2.0612
0.839,2.0594
0.84,2.0665
0.841,2.0649
0.842,2.0592
0.843,2.0625
0.844,2.0603
0.845,2.0581
0.846,2.0676
0.847,2.0618
0.848,2.0598
0.849,2.0599
0.85,2.0588
0.851,2.0603
0.852,2.0627
0.853,2.062
0.854,2.0588
0.855,2.0676
0.856,2.0623
0.857,2.0625
0.858,2.063
0.859,2.062
0.86,2.0601
0.861,2.0645
0.862,2.0618
0.863,2.0651
0.864,2.0651
0.865,2.0643
0.866,2.0576
0.867,2.0607
0.868,2.0636
0.869,2.0647
0.87,2.0607
0.871,2.0596
0.872,2.0596
0.873,2.0649
0.874,2.0612
0.875,2.0599
0.876,2.0627
0.877,2.063
0.878,2.062
0.879,2.0654
0.88,2.0632
0.881,2.0594
0.882,2.0636
0.883,2.0605
0.884,2.0609
0.885,2.0638
0.886,2.0627
0.887,2.0555
0.888,2.0596
0.889,2.0614
0.89,2.0587
0.891,2.0585
0.892,2.0605
0.893,2.0643
0.894,2.0576
0.895,2.0618
0.896,2.0605
0.897,2.0605
0.898,2.0654
0.899,2.0621
0.9,2.0621
0.901,2.0643
0.902,2.0607
0.903,2.0588
0.904,2.0609
0.905,2.0599
0.906,2.0623
0.907,2.0596
0.908,2.0583
0.909,2.0663
0.91,2.0603
0.911,2.0561
0.912,2.0533
0.913,2.063
0.914,2.0592
0.915,2.064
0.916,2.0605
0.917,2.0649
0.918,2.059
0.919,2.0541
0.92,2.057
0.921,2.064
0.922,2.0592
0.923,2.0585
0.924,2.0598
0.925,2.0563
0.926,2.0609
0.927,2.0601
0.928,2.0625
0.929,2.0609
0.93,2.0607
0.931,2.062
0.932,2.063
0.933,2.061
0.934,2.0671
0.935,2.0638
0.936,2.0599
0.937,2.0588
0.938,2.0612
0.939,2.0577
0.94,2.0585
0.941,2.0557
0.942,2.0671
0.943,2.0596
0.944,2.0603
0.945,2.0627
0.946,2.0651
0.947,2.059
0.948,2.0636
0.949,2.0616
0.95,2.0609
0.951,2.0555
0.952,2.0574
0.953,2.057
0.954,2.0535
0.955,2.0616
0.956,2.0594
0.957,2.0625
0.958,2.0598
0.959,2.0577
0.96,2.0605
0.961,2.0594
0.962,2.0629
0.963,2.061
0.964,2.0601
0.965,2.0566
0.966,2.0596
0.967,2.0596
0.968,2.064
0.969,2.0587
0.97,2.0559
0.971,2.0579
0.972,2.0528
0.973,2.0587
0.974,2.0559
0.975,2.057
0.976,2.0636
0.977,2.0594
0.978,2.057
0.979,2.0579
0.98,2.0609
0.981,2.0598
0.982,2.0627
